statistical_sector,ID,n_trees,n_benches,n_trashcans,area_in_ha,total_number_of_inhabitants,population_density_per_km2,men,women,population_0_17_year_olds,population_20_39_year_olds,population_40_59_year_olds,population_60_79_year_olds,population_80_year_olds,births,deaths,natural_growth_b_d,total_growth,elderly_dependency_ratio,youth_dependency_ratio,caregiving_ratio,dependency_coefficient,family_care_index,non_belgian_current_nationality_w_r_t_to_residents,non_belgian_origin_w_r_t_to_inhabitants,private_households,households_without_lipro_children,multi_person_households_with_at_least_1_minor_lipro_child,multi_person_households_with_only_minor_lipro_child_ren,household_1_person,household_2_persons,household_3_persons,household_4_persons,household_5_persons,living_alone_w_r_t_to_private_households,household_without_lipro_children_w_r_t_private_households,multi_person_households_with_at_least_1_minor_lipro_child_w_r_t_private_households,single_parent_household_with_min_1_minor_lipro_child_vs_household_with_min_1_minor_lipro_child,nwwz_unemployed_jobseekers_w_r_t_inhabitants_18_64_yo,nwwz_unemployed_jobseekers,nwwz_short_term_unemployed_jobseekers,nwwz_long_term_unemployed_jobseekers,nwwz_very_long_term_unemployed_jobseekers,commercial_properties,commercial_properties_per_1000_inhabitants,stores_food_products,stores_personal_care,stores_clothing_and_fashion,stores_household_goods,stores_leisure,stores_in_and_around_the_house,stores_brown_and_white_goods,stores_car_and_bicycle,stores_do_it_yourself,stores_others,bars_and_restaurants,consumer_oriented_services_culture,consumer_oriented_services_transportation_and_fuels,consumer_oriented_services_recreation,consumer_oriented_services_others,commercial_properties_vacant_incl_renovation_until_2019,vacant_commercial_properties_w_r_t_commercial_properties_percent,stores_daily_goods_w_r_t_to_stores,commercial_properties_other_retail_w_r_t_to_retail,stores_periodic_goods_w_r_t_stores,stores_periodic_goods_vs_stores,residential_units_in_apartments,residential_units_in_collective_housing,residential_units_in_individual_housing,renters_w_r_t_households_with_known_title_of_ownership,social_rental_housing_social_housing_company_social_rental_office,persons_with_an_increased_allowance,persons_with_an_increased_allowance_w_r_t_persons_on_health_insurance,average_net_taxable_income_per_resident,preschool_students,elementary_school_students,secondary_school_students,indicator_pupils_primary_education_percent,indicator_pupils_secondary_education_percent,education_deprivation_indicator_value_primary_education_ratio,education_deprivation_indicator_value_secondary_education_ratio
Den Duivel,24062E790,448,1,2,113.38,289,255,142,147,78,74,78,46,13,NA,NA,3,-7,27.1,47,9.5,74.1,41.9,0.045,0.076,115,63,38,14,32,32,18,27,6,0.278,0.548,0.33,NA,0.029,5,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,113,0.126,0,10,0.036,23856,8,32,25,NA,0.217,0.15,0.3
Dijledreef,24062C58-,6,0,0,10.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Don Bosco,24062C44-,510,56,29,37.33,1778,4763,859,919,527,433,433,287,98,24,13,11,-47,29.2,54.4,7.3,83.7,50.5,0.129,0.504,699,391,214,94,244,173,87,100,95,0.349,0.559,0.306,0.136,0.084,94,0.5,0.16,0.34,2,1.12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,NA,NA,NA,389,NA,506,0.543,410,750,0.383,15378,120,176,179,0.676,0.749,2.48,2.57
Draak,24062B132,83,11,7,26.69,555,2080,274,281,131,97,160,140,27,NA,NA,2,-20,40.4,43.4,11.1,83.8,26.7,0.025,0.209,207,119,52,36,42,80,27,31,27,0.203,0.575,0.251,NA,0.021,7,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,212,0.143,20,92,0.161,23028,10,39,66,0.521,0.379,1.1,0.67
Dries,24062F491,154,17,4,322.12,678,210,344,334,170,129,192,150,37,6,8,-2,-15,38,46.2,9.2,84.2,40.7,0.027,0.091,251,140,73,38,44,99,34,40,34,0.175,0.558,0.291,0.137,0.026,10,0.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,0.109,0,35,0.053,23313,32,63,64,0.204,0.274,0.35,0.37
Egenhoven,24062D500,81,11,7,27.04,692,2559,345,347,164,181,182,110,55,11,NA,7,-26,34,41.6,5.3,75.6,64,0.142,0.243,273,155,86,32,68,94,36,55,20,0.249,0.568,0.315,0.07,0.038,16,0.75,NA,NA,6,8.67,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0.167,1,NA,NA,NA,NA,NA,287,0.24,0,80,0.122,31234,42,53,42,0.232,0.238,0.64,0.62
Gasthuisberg,24062D633,168,10,0,37.9,104,274,50,54,33,34,21,14,NA,NA,NA,0,0,16.4,54.1,17.5,70.5,NA,0.048,0.154,34,17,14,NA,7,7,7,6,7,0.206,0.5,0.412,NA,NA,NA,NA,NA,NA,7,67.31,1,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,NA,0.667,NA,NA,0.333,17,NA,25,0.353,0,NA,NA,NA,NA,15,12,NA,0.455,0.13,0.45
Groot Begijnhof,24062A43-,21,0,1,3.49,221,6339,109,112,29,142,37,9,NA,NA,NA,4,-9,6.7,16.1,11.5,22.8,NA,0.873,0.887,149,128,19,NA,106,24,11,6,NA,0.711,0.859,0.128,NA,0.017,3,1,NA,NA,2,9.05,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,142,NA,62,1,0,34,0.17,10645,12,8,NA,0.3,NA,1.25,NA
Haasrode Industrie,24062E774,28,6,2,237.71,157,66,76,81,45,33,33,38,8,NA,NA,1,2,31.8,52.9,8.9,84.7,53.3,0.083,0.185,60,34,20,6,14,24,10,7,5,0.233,0.567,0.333,NA,0.052,5,1,NA,NA,26,165.61,1,1,0,0,0,0,0,0,1,1,4,0,12,0,6,0,NA,0.5,0.25,NA,0.25,6,NA,58,0.083,0,NA,NA,32171,6,12,12,NA,NA,0.61,0.45
Heffel,24062C10-,500,19,7,12.4,498,4016,238,260,119,134,132,91,22,9,NA,7,-2,29.4,40.6,10.1,70,51.2,0.133,0.293,220,150,60,10,72,82,22,29,15,0.327,0.682,0.273,NA,0.017,5,0.6,NA,NA,2,4.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,NA,NA,NA,91,NA,141,0.364,1,48,0.104,22927,19,41,39,0.276,0.421,0.71,0.74
